Opening Input File:<testdata/SearchString16.txt> 
Input File Size is:<16526618>
Done Reading Input File!
Opening Pattern File:<testdata/testpattern10.txt> 
Done Reading Pattern File!
---***Pratt-Boyer-Moore string search***---
The Worker 1 start searching.
worker 4: processing 801 of 1024
worker 3: processing 545 of 768
worker 4: processing 802 of 1024
worker 1: processing 56 of 256
worker 1: processing 57 of 256
worker 2: processing 303 of 512
worker 4: processing 803 of 1024
worker 1: processing 58 of 256
worker 3: processing 546 of 768
worker 4: processing 804 of 1024
worker 1: processing 59 of 256
worker 2: processing 304 of 512
worker 3: processing 547 of 768
worker 1: processing 60 of 256
worker 4: processing 805 of 1024
worker 2: processing 305 of 512
worker 1: processing 61 of 256
worker 4: processing 806 of 1024
worker 3: processing 548 of 768
worker 1: processing 62 of 256
worker 2: processing 306 of 512
worker 4: processing 807 of 1024
worker 3: processing 549 of 768
worker 1: processing 63 of 256
worker 2: processing 307 of 512
worker 4: processing 808 of 1024
worker 4: processing 809 of 1024
worker 3: processing 550 of 768
worker 4: processing 810 of 1024
worker 1: processing 64 of 256
worker 1: processing 65 of 256
worker 2: processing 308 of 512
worker 4: processing 811 of 1024
worker 1: processing 66 of 256
worker 3: processing 551 of 768
worker 4: processing 812 of 1024
worker 1: processing 67 of 256
worker 2: processing 309 of 512
worker 1: processing 68 of 256
worker 4: processing 813 of 1024
worker 3: processing 552 of 768
worker 1: processing 69 of 256
worker 2: processing 310 of 512
worker 4: processing 814 of 1024
worker 3: processing 553 of 768
worker 1: processing 70 of 256
worker 2: processing 311 of 512
worker 4: processing 815 of 1024
worker 3: processing 554 of 768
worker 1: processing 71 of 256
worker 4: processing 816 of 1024
worker 2: processing 312 of 512
worker 4: processing 817 of 1024
worker 3: processing 555 of 768
worker 4: processing 818 of 1024
worker 1: processing 72 of 256
worker 1: processing 73 of 256
worker 4: processing 819 of 1024
worker 1: processing 74 of 256
worker 2: processing 313 of 512
worker 3: processing 556 of 768
worker 1: processing 75 of 256
worker 4: processing 820 of 1024
worker 2: processing 314 of 512
worker 1: processing 76 of 256
worker 4: processing 821 of 1024
worker 3: processing 557 of 768
worker 1: processing 77 of 256
worker 2: processing 315 of 512
worker 4: processing 822 of 1024
worker 3: processing 558 of 768
worker 1: processing 78 of 256
worker 4: processing 823 of 1024
worker 2: processing 316 of 512
worker 3: processing 559 of 768
worker 1: processing 79 of 256
worker 4: processing 824 of 1024
worker 2: processing 317 of 512
worker 4: processing 825 of 1024
worker 1: processing 80 of 256
worker 3: processing 560 of 768
worker 4: processing 826 of 1024
worker 1: processing 81 of 256
worker 4: processing 827 of 1024
worker 1: processing 82 of 256
worker 2: processing 318 of 512
worker 1: processing 83 of 256
worker 3: processing 561 of 768
worker 4: processing 828 of 1024
worker 1: processing 84 of 256
worker 2: processing 319 of 512
worker 4: processing 829 of 1024
worker 3: processing 562 of 768
worker 1: processing 85 of 256
worker 4: processing 830 of 1024
worker 2: processing 320 of 512
worker 1: processing 86 of 256
worker 3: processing 563 of 768
worker 4: processing 831 of 1024
worker 2: processing 321 of 512
worker 1: processing 87 of 256
worker 3: processing 564 of 768
worker 4: processing 832 of 1024
worker 4: processing 833 of 1024
worker 2: processing 322 of 512
worker 1: processing 88 of 256
worker 4: processing 834 of 1024
worker 3: processing 565 of 768
worker 4: processing 835 of 1024
worker 2: processing 323 of 512
worker 1: processing 89 of 256
worker 4: processing 836 of 1024
worker 3: processing 566 of 768
worker 2: processing 324 of 512
worker 4: processing 837 of 1024
worker 1: processing 90 of 256
worker 3: processing 567 of 768
worker 4: processing 838 of 1024
worker 2: processing 325 of 512
worker 1: processing 91 of 256
worker 3: processing 568 of 768
worker 4: processing 839 of 1024
worker 2: processing 326 of 512
worker 1: processing 92 of 256
worker 3: processing 569 of 768
worker 4: processing 840 of 1024
worker 4: processing 841 of 1024
worker 2: processing 327 of 512
worker 4: processing 842 of 1024
worker 1: processing 93 of 256
worker 3: processing 570 of 768
worker 4: processing 843 of 1024
worker 2: processing 328 of 512
worker 4: processing 844 of 1024
worker 1: processing 94 of 256
worker 3: processing 571 of 768
worker 4: processing 845 of 1024
worker 2: processing 329 of 512
worker 1: processing 95 of 256
worker 3: processing 572 of 768
worker 4: processing 846 of 1024
worker 2: processing 330 of 512
worker 1: processing 96 of 256
worker 3: processing 573 of 768
worker 4: processing 847 of 1024
worker 2: processing 331 of 512
worker 1: processing 97 of 256
worker 3: processing 574 of 768
worker 4: processing 848 of 1024
worker 4: processing 849 of 1024
worker 2: processing 332 of 512
worker 4: processing 850 of 1024
worker 1: processing 98 of 256
worker 3: processing 575 of 768
worker 4: processing 851 of 1024
worker 2: processing 333 of 512
worker 4: processing 852 of 1024
worker 1: processing 99 of 256
worker 3: processing 576 of 768
worker 4: processing 853 of 1024
worker 2: processing 334 of 512
worker 1: processing 100 of 256
worker 3: processing 577 of 768
worker 4: processing 854 of 1024
worker 2: processing 335 of 512
worker 1: processing 101 of 256
worker 3: processing 578 of 768
worker 4: processing 855 of 1024
worker 2: processing 336 of 512
worker 1: processing 102 of 256
worker 3: processing 579 of 768
worker 4: processing 856 of 1024
worker 4: processing 857 of 1024
worker 4: processing 858 of 1024
worker 2: processing 337 of 512
worker 3: processing 580 of 768
worker 1: processing 103 of 256
worker 4: processing 859 of 1024
worker 4: processing 860 of 1024
worker 2: processing 338 of 512
worker 1: processing 104 of 256
worker 3: processing 581 of 768
worker 4: processing 861 of 1024
worker 2: processing 339 of 512
worker 1: processing 105 of 256
worker 3: processing 582 of 768
worker 4: processing 862 of 1024
worker 2: processing 340 of 512
worker 1: processing 106 of 256
worker 3: processing 583 of 768
worker 4: processing 863 of 1024
worker 2: processing 341 of 512
worker 1: processing 107 of 256
worker 4: processing 864 of 1024
worker 3: processing 584 of 768
worker 4: processing 865 of 1024
worker 4: processing 866 of 1024
worker 2: processing 342 of 512
worker 1: processing 108 of 256
worker 4: processing 867 of 1024
worker 3: processing 585 of 768
worker 4: processing 868 of 1024
worker 2: processing 343 of 512
worker 1: processing 109 of 256
worker 4: processing 869 of 1024
worker 3: processing 586 of 768
worker 2: processing 344 of 512
worker 1: processing 110 of 256
worker 4: processing 870 of 1024
worker 3: processing 587 of 768
worker 2: processing 345 of 512
worker 1: processing 111 of 256
worker 4: processing 871 of 1024
worker 3: processing 588 of 768
worker 2: processing 346 of 512
worker 1: processing 112 of 256
worker 4: processing 872 of 1024
worker 4: processing 873 of 1024
worker 3: processing 589 of 768
worker 4: processing 874 of 1024
worker 2: processing 347 of 512
worker 1: processing 113 of 256
worker 4: processing 875 of 1024
worker 3: processing 590 of 768
worker 4: processing 876 of 1024
worker 2: processing 348 of 512
worker 1: processing 114 of 256
worker 3: processing 591 of 768
worker 4: processing 877 of 1024
worker 1: processing 115 of 256
worker 2: processing 349 of 512
worker 4: processing 878 of 1024
worker 3: processing 592 of 768
worker 1: processing 116 of 256
worker 4: processing 879 of 1024
worker 2: processing 350 of 512
worker 3: processing 593 of 768
worker 4: processing 880 of 1024
worker 1: processing 117 of 256
worker 2: processing 351 of 512
worker 4: processing 881 of 1024
worker 3: processing 594 of 768
worker 4: processing 882 of 1024
worker 4: processing 883 of 1024
worker 1: processing 118 of 256
worker 2: processing 352 of 512
worker 3: processing 595 of 768
worker 4: processing 884 of 1024
worker 1: processing 119 of 256
worker 2: processing 353 of 512
worker 3: processing 596 of 768
worker 4: processing 885 of 1024
worker 1: processing 120 of 256
worker 2: processing 354 of 512
worker 4: processing 886 of 1024
worker 3: processing 597 of 768
worker 4: processing 887 of 1024
worker 1: processing 121 of 256
worker 2: processing 355 of 512
worker 3: processing 598 of 768
worker 4: processing 888 of 1024
worker 1: processing 122 of 256
worker 2: processing 356 of 512
worker 3: processing 599 of 768
worker 4: processing 889 of 1024
worker 1: processing 123 of 256
worker 2: processing 357 of 512
worker 3: processing 600 of 768
worker 3: processing 601 of 768
worker 3: processing 602 of 768
worker 4: processing 890 of 1024
worker 1: processing 124 of 256
worker 2: processing 358 of 512
worker 3: processing 603 of 768
worker 3: processing 604 of 768
worker 4: processing 891 of 1024
worker 1: processing 125 of 256
worker 2: processing 359 of 512
worker 3: processing 605 of 768
worker 4: processing 892 of 1024
worker 2: processing 360 of 512
worker 1: processing 126 of 256
worker 3: processing 606 of 768
worker 4: processing 893 of 1024
worker 2: processing 361 of 512
worker 1: processing 127 of 256
worker 3: processing 607 of 768
worker 4: processing 894 of 1024
worker 2: processing 362 of 512
worker 1: processing 128 of 256
worker 3: processing 608 of 768
worker 3: processing 609 of 768
worker 3: processing 610 of 768
worker 4: processing 895 of 1024
worker 3: processing 611 of 768
worker 2: processing 363 of 512
worker 1: processing 129 of 256
worker 3: processing 612 of 768
worker 4: processing 896 of 1024
worker 2: processing 364 of 512
worker 1: processing 130 of 256
worker 3: processing 613 of 768
worker 4: processing 897 of 1024
worker 2: processing 365 of 512
worker 1: processing 131 of 256
worker 3: processing 614 of 768
worker 4: processing 898 of 1024
worker 3: processing 615 of 768
worker 1: processing 132 of 256
worker 2: processing 366 of 512
worker 4: processing 899 of 1024
worker 3: processing 616 of 768
worker 3: processing 617 of 768
worker 1: processing 133 of 256
worker 2: processing 367 of 512
worker 3: processing 618 of 768
worker 4: processing 900 of 1024
worker 3: processing 619 of 768
worker 2: processing 368 of 512
worker 1: processing 134 of 256
worker 3: processing 620 of 768
worker 4: processing 901 of 1024
worker 2: processing 369 of 512
worker 3: processing 621 of 768
worker 1: processing 135 of 256
worker 4: processing 902 of 1024
worker 3: processing 622 of 768
worker 2: processing 370 of 512
worker 1: processing 136 of 256
worker 4: processing 903 of 1024
worker 3: processing 623 of 768
worker 2: processing 371 of 512
worker 1: processing 137 of 256
worker 3: processing 624 of 768
worker 4: processing 904 of 1024
worker 3: processing 625 of 768
worker 2: processing 372 of 512
worker 1: processing 138 of 256
worker 3: processing 626 of 768
worker 3: processing 627 of 768
worker 4: processing 905 of 1024
worker 2: processing 373 of 512
worker 1: processing 139 of 256
worker 3: processing 628 of 768
worker 4: processing 906 of 1024
worker 3: processing 629 of 768
worker 2: processing 374 of 512
worker 1: processing 140 of 256
worker 4: processing 907 of 1024
worker 3: processing 630 of 768
worker 2: processing 375 of 512
worker 1: processing 141 of 256
worker 4: processing 908 of 1024
worker 3: processing 631 of 768
worker 2: processing 376 of 512
worker 1: processing 142 of 256
worker 3: processing 632 of 768
worker 4: processing 909 of 1024
worker 3: processing 633 of 768
worker 2: processing 377 of 512
worker 1: processing 143 of 256
worker 3: processing 634 of 768
worker 3: processing 635 of 768
worker 4: processing 910 of 1024
worker 2: processing 378 of 512
worker 1: processing 144 of 256
worker 3: processing 636 of 768
worker 4: processing 911 of 1024
worker 3: processing 637 of 768
worker 2: processing 379 of 512
worker 1: processing 145 of 256
worker 3: processing 638 of 768
worker 4: processing 912 of 1024
worker 2: processing 380 of 512
worker 1: processing 146 of 256
worker 3: processing 639 of 768
worker 4: processing 913 of 1024
worker 2: processing 381 of 512
worker 1: processing 147 of 256
worker 3: processing 640 of 768
worker 3: processing 641 of 768
worker 4: processing 914 of 1024
worker 2: processing 382 of 512
worker 3: processing 642 of 768
worker 1: processing 148 of 256
worker 3: processing 643 of 768
worker 4: processing 915 of 1024
worker 2: processing 383 of 512
worker 1: processing 149 of 256
worker 3: processing 644 of 768
worker 4: processing 916 of 1024
worker 3: processing 645 of 768
worker 2: processing 384 of 512
worker 1: processing 150 of 256
worker 3: processing 646 of 768
worker 4: processing 917 of 1024
worker 2: processing 385 of 512
worker 1: processing 151 of 256
worker 3: processing 647 of 768
worker 4: processing 918 of 1024
worker 2: processing 386 of 512
worker 1: processing 152 of 256
worker 3: processing 648 of 768
worker 3: processing 649 of 768
worker 3: processing 650 of 768
worker 4: processing 919 of 1024
worker 2: processing 387 of 512
worker 1: processing 153 of 256
worker 3: processing 651 of 768
worker 4: processing 920 of 1024
worker 2: processing 388 of 512
worker 3: processing 652 of 768
worker 1: processing 154 of 256
worker 3: processing 653 of 768
worker 4: processing 921 of 1024
worker 2: processing 389 of 512
worker 1: processing 155 of 256
worker 3: processing 654 of 768
worker 4: processing 922 of 1024
worker 2: processing 390 of 512
worker 1: processing 156 of 256
worker 3: processing 655 of 768
worker 4: processing 923 of 1024
worker 2: processing 391 of 512
worker 1: processing 157 of 256
worker 3: processing 656 of 768
worker 3: processing 657 of 768
worker 3: processing 658 of 768
worker 4: processing 924 of 1024
worker 2: processing 392 of 512
worker 1: processing 158 of 256
worker 3: processing 659 of 768
worker 3: processing 660 of 768
worker 4: processing 925 of 1024
worker 2: processing 393 of 512
worker 1: processing 159 of 256
worker 3: processing 661 of 768
worker 2: processing 394 of 512
worker 4: processing 926 of 1024
worker 1: processing 160 of 256
worker 3: processing 662 of 768
worker 2: processing 395 of 512
worker 4: processing 927 of 1024
worker 1: processing 161 of 256
worker 3: processing 663 of 768
worker 2: processing 396 of 512
worker 4: processing 928 of 1024
worker 1: processing 162 of 256
worker 3: processing 664 of 768
worker 3: processing 665 of 768
worker 3: processing 666 of 768
worker 2: processing 397 of 512
worker 4: processing 929 of 1024
worker 1: processing 163 of 256
worker 3: processing 667 of 768
worker 3: processing 668 of 768
worker 2: processing 398 of 512
worker 4: processing 930 of 1024
worker 1: processing 164 of 256
worker 3: processing 669 of 768
worker 2: processing 399 of 512
worker 4: processing 931 of 1024
worker 1: processing 165 of 256
worker 3: processing 670 of 768
worker 2: processing 400 of 512
worker 4: processing 932 of 1024
worker 3: processing 671 of 768
worker 2: processing 401 of 512
worker 1: processing 166 of 256
worker 2: processing 402 of 512
worker 2: processing 403 of 512
worker 3: processing 672 of 768
worker 4: processing 933 of 1024
worker 3: processing 673 of 768
worker 1: processing 167 of 256
worker 3: processing 674 of 768
worker 2: processing 404 of 512
worker 3: processing 675 of 768
worker 4: processing 934 of 1024
worker 1: processing 168 of 256
worker 2: processing 405 of 512
worker 3: processing 676 of 768
worker 2: processing 406 of 512
worker 4: processing 935 of 1024
worker 3: processing 677 of 768
worker 1: processing 169 of 256
worker 2: processing 407 of 512
worker 3: processing 678 of 768
worker 4: processing 936 of 1024
worker 1: processing 170 of 256
worker 2: processing 408 of 512
worker 2: processing 409 of 512
worker 3: processing 679 of 768
worker 4: processing 937 of 1024
worker 1: processing 171 of 256
worker 2: processing 410 of 512
worker 2: processing 411 of 512
worker 3: processing 680 of 768
worker 3: processing 681 of 768
worker 4: processing 938 of 1024
worker 1: processing 172 of 256
worker 3: processing 682 of 768
worker 2: processing 412 of 512
worker 3: processing 683 of 768
worker 2: processing 413 of 512
worker 4: processing 939 of 1024
worker 1: processing 173 of 256
worker 3: processing 684 of 768
worker 2: processing 414 of 512
worker 3: processing 685 of 768
worker 4: processing 940 of 1024
worker 1: processing 174 of 256
worker 2: processing 415 of 512
worker 3: processing 686 of 768
worker 4: processing 941 of 1024
worker 1: processing 175 of 256
worker 2: processing 416 of 512
worker 3: processing 687 of 768
worker 2: processing 417 of 512
worker 1: processing 176 of 256
worker 2: processing 418 of 512
worker 4: processing 942 of 1024
worker 3: processing 688 of 768
worker 2: processing 419 of 512
worker 1: processing 177 of 256
worker 2: processing 420 of 512
worker 4: processing 943 of 1024
worker 3: processing 689 of 768
worker 2: processing 421 of 512
worker 1: processing 178 of 256
worker 4: processing 944 of 1024
worker 3: processing 690 of 768
worker 2: processing 422 of 512
worker 1: processing 179 of 256
worker 4: processing 945 of 1024
worker 3: processing 691 of 768
worker 2: processing 423 of 512
worker 1: processing 180 of 256
worker 4: processing 946 of 1024
worker 3: processing 692 of 768
worker 2: processing 424 of 512
worker 2: processing 425 of 512
worker 1: processing 181 of 256
worker 2: processing 426 of 512
worker 4: processing 947 of 1024
worker 2: processing 427 of 512
worker 1: processing 182 of 256
worker 3: processing 693 of 768
worker 2: processing 428 of 512
worker 4: processing 948 of 1024
worker 1: processing 183 of 256
worker 2: processing 429 of 512
worker 3: processing 694 of 768
worker 4: processing 949 of 1024
worker 2: processing 430 of 512
worker 1: processing 184 of 256
worker 3: processing 695 of 768
worker 4: processing 950 of 1024
worker 2: processing 431 of 512
worker 1: processing 185 of 256
worker 3: processing 696 of 768
worker 4: processing 951 of 1024
worker 2: processing 432 of 512
worker 2: processing 433 of 512
worker 1: processing 186 of 256
worker 3: processing 697 of 768
worker 2: processing 434 of 512
worker 4: processing 952 of 1024
worker 2: processing 435 of 512
worker 1: processing 187 of 256
worker 3: processing 698 of 768
worker 2: processing 436 of 512
worker 4: processing 953 of 1024
worker 1: processing 188 of 256
worker 2: processing 437 of 512
worker 3: processing 699 of 768
worker 4: processing 954 of 1024
worker 2: processing 438 of 512
worker 1: processing 189 of 256
worker 3: processing 700 of 768
worker 4: processing 955 of 1024
worker 2: processing 439 of 512
worker 1: processing 190 of 256
worker 3: processing 701 of 768
worker 4: processing 956 of 1024
worker 2: processing 440 of 512
worker 2: processing 441 of 512
worker 1: processing 191 of 256
worker 2: processing 442 of 512
worker 3: processing 702 of 768
worker 2: processing 443 of 512
worker 4: processing 957 of 1024
worker 1: processing 192 of 256
worker 2: processing 444 of 512
worker 3: processing 703 of 768
worker 4: processing 958 of 1024
worker 2: processing 445 of 512
worker 1: processing 193 of 256
worker 3: processing 704 of 768
worker 2: processing 446 of 512
worker 4: processing 959 of 1024
worker 1: processing 194 of 256
worker 3: processing 705 of 768
worker 2: processing 447 of 512
worker 4: processing 960 of 1024
worker 1: processing 195 of 256
worker 3: processing 706 of 768
worker 2: processing 448 of 512
worker 2: processing 449 of 512
worker 4: processing 961 of 1024
worker 1: processing 196 of 256
worker 2: processing 450 of 512
worker 3: processing 707 of 768
worker 2: processing 451 of 512
worker 4: processing 962 of 1024
worker 1: processing 197 of 256
worker 2: processing 452 of 512
worker 3: processing 708 of 768
worker 2: processing 453 of 512
worker 4: processing 963 of 1024
worker 1: processing 198 of 256
worker 3: processing 709 of 768
worker 2: processing 454 of 512
worker 4: processing 964 of 1024
worker 1: processing 199 of 256
worker 3: processing 710 of 768
worker 2: processing 455 of 512
worker 4: processing 965 of 1024
worker 1: processing 200 of 256
worker 1: processing 201 of 256
worker 2: processing 456 of 512
worker 3: processing 711 of 768
worker 2: processing 457 of 512
worker 1: processing 202 of 256
worker 2: processing 458 of 512
worker 4: processing 966 of 1024
worker 1: processing 203 of 256
worker 2: processing 459 of 512
worker 3: processing 712 of 768
worker 1: processing 204 of 256
worker 2: processing 460 of 512
worker 4: processing 967 of 1024
worker 1: processing 205 of 256
worker 3: processing 713 of 768
worker 2: processing 461 of 512
worker 4: processing 968 of 1024
worker 1: processing 206 of 256
worker 2: processing 462 of 512
worker 3: processing 714 of 768
worker 4: processing 969 of 1024
worker 1: processing 207 of 256
worker 2: processing 463 of 512
worker 3: processing 715 of 768
worker 1: processing 208 of 256
worker 4: processing 970 of 1024
worker 1: processing 209 of 256
worker 2: processing 464 of 512
worker 2: processing 465 of 512
worker 1: processing 210 of 256
worker 3: processing 716 of 768
worker 2: processing 466 of 512
worker 1: processing 211 of 256
worker 4: processing 971 of 1024
worker 2: processing 467 of 512
worker 1: processing 212 of 256
worker 3: processing 717 of 768
worker 2: processing 468 of 512
worker 4: processing 972 of 1024
worker 1: processing 213 of 256
worker 2: processing 469 of 512
worker 3: processing 718 of 768
worker 1: processing 214 of 256
worker 4: processing 973 of 1024
worker 2: processing 470 of 512
worker 3: processing 719 of 768
worker 1: processing 215 of 256
worker 4: processing 974 of 1024
worker 2: processing 471 of 512
worker 3: processing 720 of 768
worker 1: processing 216 of 256
worker 1: processing 217 of 256
worker 2: processing 472 of 512
worker 4: processing 975 of 1024
worker 2: processing 473 of 512
worker 1: processing 218 of 256
worker 2: processing 474 of 512
worker 3: processing 721 of 768
worker 1: processing 219 of 256
worker 2: processing 475 of 512
worker 4: processing 976 of 1024
worker 1: processing 220 of 256
worker 3: processing 722 of 768
worker 2: processing 476 of 512
worker 1: processing 221 of 256
worker 4: processing 977 of 1024
worker 2: processing 477 of 512
worker 3: processing 723 of 768
worker 1: processing 222 of 256
worker 2: processing 478 of 512
worker 4: processing 978 of 1024
worker 3: processing 724 of 768
worker 1: processing 223 of 256
worker 2: processing 479 of 512
worker 4: processing 979 of 1024
worker 3: processing 725 of 768
worker 1: processing 224 of 256
worker 1: processing 225 of 256
worker 2: processing 480 of 512
worker 1: processing 226 of 256
worker 2: processing 481 of 512
worker 4: processing 980 of 1024
worker 2: processing 482 of 512
worker 1: processing 227 of 256
worker 3: processing 726 of 768
worker 2: processing 483 of 512
worker 1: processing 228 of 256
worker 4: processing 981 of 1024
worker 2: processing 484 of 512
worker 3: processing 727 of 768
worker 1: processing 229 of 256
worker 2: processing 485 of 512
worker 4: processing 982 of 1024
worker 1: processing 230 of 256
worker 3: processing 728 of 768
worker 2: processing 486 of 512
worker 4: processing 983 of 1024
worker 1: processing 231 of 256
worker 3: processing 729 of 768
worker 2: processing 487 of 512
worker 4: processing 984 of 1024
worker 1: processing 232 of 256
worker 1: processing 233 of 256
worker 3: processing 730 of 768
worker 2: processing 488 of 512
worker 1: processing 234 of 256
worker 4: processing 985 of 1024
worker 1: processing 235 of 256
worker 3: processing 731 of 768
worker 2: processing 489 of 512
worker 1: processing 236 of 256
worker 4: processing 986 of 1024
worker 3: processing 732 of 768
worker 1: processing 237 of 256
worker 2: processing 490 of 512
worker 4: processing 987 of 1024
worker 1: processing 238 of 256
worker 3: processing 733 of 768
worker 2: processing 491 of 512
worker 4: processing 988 of 1024
worker 1: processing 239 of 256
worker 3: processing 734 of 768
worker 2: processing 492 of 512
worker 1: processing 240 of 256
worker 4: processing 989 of 1024
worker 1: processing 241 of 256
worker 1: processing 242 of 256
worker 2: processing 493 of 512
worker 3: processing 735 of 768
worker 1: processing 243 of 256
worker 4: processing 990 of 1024
worker 3: processing 736 of 768
worker 1: processing 244 of 256
worker 2: processing 494 of 512
worker 4: processing 991 of 1024
worker 1: processing 245 of 256
worker 3: processing 737 of 768
worker 2: processing 495 of 512
worker 1: processing 246 of 256
worker 4: processing 992 of 1024
worker 3: processing 738 of 768
worker 2: processing 496 of 512
worker 1: processing 247 of 256
worker 4: processing 993 of 1024
worker 3: processing 739 of 768
worker 2: processing 497 of 512
worker 1: processing 248 of 256
worker 1: processing 249 of 256
worker 4: processing 994 of 1024
worker 1: processing 250 of 256
worker 3: processing 740 of 768
worker 2: processing 498 of 512
worker 1: processing 251 of 256
worker 4: processing 995 of 1024
worker 1: processing 252 of 256
worker 3: processing 741 of 768
worker 2: processing 499 of 512
worker 1: processing 253 of 256
worker 4: processing 996 of 1024
worker 2: processing 500 of 512
worker 3: processing 742 of 768
worker 1: processing 254 of 256
worker 4: processing 997 of 1024
worker 2: processing 501 of 512
worker 3: processing 743 of 768
worker 1: processing 255 of 256
